shipment_id,origin_warehouse,destination_city,destination_state,carrier,ship_date,delivery_date,weight_kg,freight_cost,shipment_status,items_count,damage_reported
SHP-1001,Warehouse A,Dallas,TX,FastFreight,1/10/2024,1/14/2024,120.5,450,Delivered,48,No
SHP-1002,warehouse b,  Los Angeles  ,CA,SPEEDYHAUL,1/12/2024,1/11/2024,85.3,320,delivered,30,no
SHP-1003,Warehouse A,Dallas,TX,FastFreight,1/10/2024,1/14/2024,120.5,450,Delivered,48,No
SHP-1004,Warehouse C,Chicago,il,FastFreight,1/15/2024,1/19/2024,200,610,In Transit,75,NULL
SHP-1005,warehouse a,Houston,TX,QuickShip,,1/20/2024,-45.2,280,Delivered,20,Yes
SHP-1006,Warehouse B,Phoenix,AZ,SpeedyHaul,1/18/2024,1/23/2024,95,,Delivered,0,No
SHP-1007,  Warehouse D  ,Seattle,WA,quickship,1/20/2024,1/25/2024,310.8,980,delivered,110,yes
SHP-1008,Warehouse C,Denver,CO,FastFreight,1/22/2024,1/27/2024,150,520,Pending,55,No
SHP-1009,Warehouse B,Miami,FL,SpeedyHaul,1/25/2024,2/1/2024,88.7,345,Delivered,33,NULL
SHP-1010,WAREHOUSE A,  dallas  ,tx,FASTFREIGHT,2/1/2024,2/5/2024,175.3,590,DELIVERED,65,NO
SHP-1011,Warehouse D,Portland,OR,QuickShip,2/3/2024,2/8/2024,60,210,Cancelled,-15,No
SHP-1012,Warehouse B,Los Angeles,CA,SpeedyHaul,2/5/2024,2/10/2024,85.3,320,Delivered,30,No
SHP-1013,Warehouse C,,IL,FastFreight,2/8/2024,2/12/2024,225,670,Delivered,80,Yes
SHP-1014,warehouse d,San Francisco,CA,QuickShip,Feb 10 2024,Feb 15 2024,140.6,485,In transit,52,No
SHP-1015,Warehouse A,Houston,TX,FastFreight,2/12/2024,2/16/2024,98.4,370,Delivered,40,No
SHP-1016,Warehouse B,Phoenix,AZ,SpeedyHaul,2/14/2024,2/19/2024,95,15000,Delivered,35,Yes
SHP-1017,  warehouse c  ,Denver,CO,QUICKSHIP,2/18/2024,2/23/2024,0,0,Pending,0,NULL
SHP-1018,Warehouse D,Seattle,WA,QuickShip,2/20/2024,2/25/2024,310.8,980,Delivered,110,No
SHP-1019,Warehouse A,Atlanta,GA,FastFreight,2/22/2024,,165,540,In Transit,60,No
SHP-1020,Warehouse B,Miami,FL,speedyhaul,2/25/2024,3/2/2024,72.1,265,Delivered,28,no
SHP-1021,Warehouse C,Chicago,IL,FastFreight,3/1/2024,3/5/2024,190,600,Delivered,70,No
SHP-1022,WAREHOUSE D,  Portland  ,or,QUICKSHIP,3/3/2024,3/8/2024,55.4,195,CANCELLED,22,NO
SHP-1023,Warehouse A,Dallas,TX,FastFreight,3/5/2024,3/9/2024,120.5,450,Delivered,48,Yes
SHP-1024,Warehouse B,Los Angeles,CA,SpeedyHaul,March 7 2024,March 12 2024,130.2,460,Delivered,50,No
SHP-1025,Warehouse C,San Francisco,CA,QuickShip,3/10/2024,3/15/2024,145.9,500,Delivered,54,No
