shipment_id,origin_warehouse,destination_city,destination_state,carrier,ship_date,delivery_date,weight_kg,freight_cost,shipment_status,items_count,damage_reported
1004, C,Chicago,IL,Fastfreight,1/15/2024,1/19/2024,200,610,In Transit,75,NULL
1005, A,Houston,TX,Quickship,,1/20/2024,45.2,280,Delivered,20,Yes
1006, B,Phoenix,AZ,Speedyhaul,1/18/2024,1/23/2024,95,0,Delivered,,No
1007, D,Seattle,WA,Quickship,1/20/2024,1/25/2024,310.8,980,Delivered,110,yes
1008, C,Denver,CO,Fastfreight,1/22/2024,1/27/2024,150,520,Pending,55,No
1009, B,Miami,FL,Speedyhaul,1/25/2024,2/1/2024,88.7,345,Delivered,33,NULL
1010, A,Dallas,TX,Fastfreight,2/1/2024,2/5/2024,175.3,590,Delivered,65,NO
1011, D,Portland,OR,Quickship,2/3/2024,2/8/2024,60,210,Cancelled,15,No
1012, B,Los Angeles,CA,Speedyhaul,2/5/2024,2/10/2024,85.3,320,Delivered,30,No
1013, C,Unknown,IL,Fastfreight,2/8/2024,2/12/2024,225,670,Delivered,80,Yes
1014, D,San Francisco,CA,Quickship,2/10/2024,2/15/2024,140.6,485,In Transit,52,No
1015, A,Houston,TX,Fastfreight,2/12/2024,2/16/2024,98.4,370,Delivered,40,No
1016, B,Phoenix,AZ,Speedyhaul,2/14/2024,2/19/2024,95,15000,Delivered,35,Yes
1017, C,Denver,CO,Quickship,2/18/2024,2/23/2024,0,0,Pending,,NULL
1018, D,Seattle,WA,Quickship,2/20/2024,2/25/2024,310.8,980,Delivered,110,No
1019, A,Atlanta,GA,Fastfreight,2/22/2024,,165,540,In Transit,60,No
1020, B,Miami,FL,Speedyhaul,2/25/2024,3/2/2024,72.1,265,Delivered,28,no
1021, C,Chicago,IL,Fastfreight,3/1/2024,3/5/2024,190,600,Delivered,70,No
1022, D,Portland,OR,Quickship,3/3/2024,3/8/2024,55.4,195,Cancelled,22,NO
1023, A,Dallas,TX,Fastfreight,3/5/2024,3/9/2024,120.5,450,Delivered,48,Yes
1024, B,Los Angeles,CA,Speedyhaul,3/7/2024,3/12/2024,130.2,460,Delivered,50,No
1025, C,San Francisco,CA,Quickship,3/10/2024,3/15/2024,145.9,500,Delivered,54,No
